,name,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,publisher_counts
27114,Call Me Skyfish,Other,4,6,"0 .. 20,000",0,0,0,0,0,0,0,2
27115,Cope Island: Adrift,Other,4,0,"0 .. 20,000",0,0,0,0,999,999,0,1
27116,"CyberLink PhotoDirector 11 Ultra - Photo editor, photo editing software",Other,5,3,"0 .. 20,000",0,0,0,0,9999,9999,0,4
27117,Hay Day Farm 2019 - 卡通农场,Other,2,8,"0 .. 20,000",0,0,0,0,999,999,0,1
27118,BadLands RoadTrip,Other,7,3,"0 .. 20,000",0,0,0,0,999,999,0,2
27119,Ironheart,Choice of Games,15,2,"0 .. 20,000",0,0,0,0,599,599,0,116
27120,SHNIPERS,Other,1,0,"0 .. 20,000",0,0,0,0,999,999,0,1
27121,Love Chronicles: The Sword and the Rose,Big Fish Games,3,1,"0 .. 20,000",0,0,0,0,699,699,0,324
27122,PartyLine VR,Other,11,4,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27123,The Bradwell Conspiracy,Other,32,14,"0 .. 20,000",0,0,0,0,1999,1999,0,9
27124,Dead Dreams,Other,24,4,"0 .. 20,000",0,0,0,0,799,799,0,2
27125,The Legend of the Dragonflame High School,Other,4,1,"0 .. 20,000",0,0,0,0,199,199,0,7
27126,Professor Madhouse,Ultimate Games S.A.,3,3,"0 .. 20,000",0,0,0,0,49,199,75,30
27127,Cruz Brothers,Other,8,7,"0 .. 20,000",0,0,0,0,499,499,0,1
27128,Omae Wa Mou Shindeiru,Laush Studio,15,8,"0 .. 20,000",0,0,0,0,299,299,0,74
27129,Allison's Diary: Rebirth,Other,8,6,"0 .. 20,000",0,0,0,0,999,999,0,5
27130,The Pizza Delivery Boy Who Saved the World,Other,13,1,"0 .. 20,000",0,0,0,0,699,699,0,6
27131,A Hole New World,Other,54,13,"0 .. 20,000",0,0,0,0,999,999,0,1
27132,Whale Island,Other,0,1,"0 .. 20,000",0,0,0,0,299,299,0,1
27133,Fury Race,Other,6,7,"0 .. 20,000",0,0,0,0,499,499,0,16
27134,Horse Riding Deluxe 2,Other,11,2,"0 .. 20,000",0,0,0,0,1999,1999,0,2
27135,Ski Drive: Biathlon,Other,1,0,"0 .. 20,000",0,0,0,0,399,399,0,16
27136,Night Crisis,Other,8,18,"0 .. 20,000",0,0,0,0,899,899,0,1
27137,Bookend,Other,15,3,"0 .. 20,000",0,0,0,0,0,0,0,1
27138,Feathery Ears 羽耳,Other,13,1,"0 .. 20,000",0,0,0,0,649,999,35,2
27139,Brawlerz Arena,Other,1,1,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27140,BadRobots VR,Other,1,0,"0 .. 20,000",0,0,0,0,899,899,0,1
27141,Janky Tanks,Other,8,7,"0 .. 20,000",0,0,0,0,499,499,0,7
27142,AMBUSH tactics,Other,6,6,"0 .. 20,000",0,0,0,0,0,0,0,2
27143,Christmas Wonderland 2,Other,3,0,"0 .. 20,000",0,0,0,0,499,499,0,6
27144,7th Sea: A Pirate's Pact,Choice of Games,15,2,"0 .. 20,000",0,0,0,0,499,499,0,116
27145,Moss Destruction,Other,79,28,"0 .. 20,000",0,0,0,0,999,999,0,1
27146,欢乐块队,Other,2,3,"0 .. 20,000",0,0,0,0,1099,1099,0,2
27147,Black Friday: The Game,Other,7,1,"0 .. 20,000",0,0,0,0,199,199,0,1
27148,Draft Day Sports: College Football 2018,Other,4,4,"0 .. 20,000",0,0,0,0,1499,1499,0,14
27149,Lil Big Invasion,Other,23,0,"0 .. 20,000",0,0,0,0,299,299,0,1
27150,Super Jigsaw Puzzle,Other,55,4,"0 .. 20,000",0,0,0,0,499,499,0,8
27151,No God For Us,Other,0,1,"0 .. 20,000",0,0,0,0,399,399,0,1
27152,On Target VR Darts,Other,0,1,"0 .. 20,000",0,0,0,0,999,999,0,1
27153,Ordo Et Chao: New World,Other,1,3,"0 .. 20,000",0,0,0,0,1199,1199,0,1
27154,Deathtrap Dungeon: The Interactive Video Adventure,Other,67,7,"0 .. 20,000",0,0,0,0,1199,1199,0,1
27155,Astroloco: Worst Contact,Other,15,1,"0 .. 20,000",0,0,0,0,499,499,0,1
27156,Mirror Stage,Other,20,17,"0 .. 20,000",0,0,0,0,3999,3999,0,1
27157,Blockships,Other,26,1,"0 .. 20,000",0,0,0,0,699,699,0,1
27158,Rockland VR,Other,1,0,"0 .. 20,000",0,0,0,0,399,399,0,1
27159,3Gun Nation VR,Other,13,8,"0 .. 20,000",0,0,0,0,399,399,0,1
27160,Mercenary Leto,Other,5,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27161,Mad Gardener: Zombie Massacre,Other,3,0,"0 .. 20,000",0,0,0,0,99,99,0,1
27162,Bounty Hunter,Other,1,2,"0 .. 20,000",0,0,0,0,599,599,0,1
27163,Gilbert Goodmate and the Mushroom of Phungoria,Other,8,0,"0 .. 20,000",0,0,0,0,799,799,0,1
27164,Hot Runback - VR Runner,Other,6,1,"0 .. 20,000",0,0,0,0,499,499,0,1
27165,Space Rabbits in Space,Other,7,0,"0 .. 20,000",0,0,0,0,0,0,0,3
27166,Captain vs Sky Pirates,Other,2,2,"0 .. 20,000",0,0,0,0,299,299,0,19
27167,The Cave VR,Other,3,3,"0 .. 20,000",0,0,0,0,1199,1199,0,2
27168,Endzeit,Other,0,1,"0 .. 20,000",0,0,0,0,999,999,0,1
27169,Mr Boom's Firework Factory,Other,3,0,"0 .. 20,000",0,0,0,0,1299,1299,0,1
27170,Ananias Roguelike,Other,34,6,"0 .. 20,000",0,0,0,0,499,499,0,1
27171,Repeat the image: Animals,Other,2,1,"0 .. 20,000",0,0,0,0,199,199,0,3
27172,Dolphin Up,Other,17,1,"0 .. 20,000",0,0,0,0,299,299,0,1
27173,Thug Life,Other,1,0,"0 .. 20,000",0,0,0,0,899,899,0,5
27174,Dunderheads,Other,6,0,"0 .. 20,000",0,0,0,0,599,599,0,1
27175,Delicious - Emily's New Beginning,GameHouse,46,2,"0 .. 20,000",0,0,0,0,1299,1299,0,32
27176,MinSweeper,Other,3,3,"0 .. 20,000",0,0,0,0,299,299,0,1
27177,Audio Infection,Other,4,0,"0 .. 20,000",0,0,0,0,99,99,0,1
27178,Prank Masters ~ Otome Visual Novel,Other,4,0,"0 .. 20,000",0,0,0,0,799,799,0,1
27179,2100,Other,3,6,"0 .. 20,000",0,0,0,0,99,99,0,7
27180,Blue Libra,Other,7,3,"0 .. 20,000",0,0,0,0,399,399,0,1
27181,Koi Solitaire,Other,1,0,"0 .. 20,000",0,0,0,0,799,799,0,10
27182,San Matias - Mafia City,Other,13,4,"0 .. 20,000",0,0,0,0,99,99,0,1
27183,Umbrella,Other,0,1,"0 .. 20,000",0,0,0,0,299,299,0,1
27184,Mystery House -fivestones-,Other,6,0,"0 .. 20,000",0,0,0,0,599,599,0,1
27185,The Mors,Other,8,1,"0 .. 20,000",0,0,0,0,1999,1999,0,1
27186,Witch Hunters: Full Moon Ceremony Collector's Edition,Big Fish Games,3,0,"0 .. 20,000",0,0,0,0,0,0,0,324
27187,Theme Park Worker,Other,2,0,"0 .. 20,000",0,0,0,0,1699,1699,0,1
27188,The Ritual on Weylyn Island,Other,46,21,"0 .. 20,000",0,0,0,0,1199,1199,0,1
27189,Combine War Toys,Other,1,0,"0 .. 20,000",0,0,0,0,799,799,0,1
27190,Space Gladiators: Escaping Tartarus,Other,64,1,"0 .. 20,000",0,0,0,0,1499,1499,0,1
27191,JamG,Other,13,2,"0 .. 20,000",0,0,0,0,999,999,0,1
27192,Cave Brawlers,Other,5,10,"0 .. 20,000",0,0,0,0,699,699,0,1
27193,Lot'zAmonsters,Other,1,0,"0 .. 20,000",0,0,0,0,599,599,0,2
