,name,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,publisher_counts
24,Robocraft,Other,84398,32033,"10,000,000 .. 20,000,000",3437,3104,206,6196,0,0,0,3
25,Rust,Other,387433,74197,"10,000,000 .. 20,000,000",15564,1371,2976,619,3999,3999,0,3
26,Rocket League,Other,395924,40753,"10,000,000 .. 20,000,000",11058,706,1464,360,1999,1999,0,1
27,Warface,Other,40428,17755,"10,000,000 .. 20,000,000",1824,0,123,0,0,0,0,7
28,Half-Life 2,Valve,101515,2964,"10,000,000 .. 20,000,000",1374,403,399,604,999,999,0,33
29,Portal 2,Valve,200944,2521,"10,000,000 .. 20,000,000",872,85,558,104,999,999,0,33
30,Black Squad,Other,53551,15481,"10,000,000 .. 20,000,000",4160,3348,96,6533,0,0,0,1
31,Trove,Other,59724,15164,"10,000,000 .. 20,000,000",4268,5169,297,10051,0,0,0,7
32,Z1 Battle Royale,Other,114821,93715,"10,000,000 .. 20,000,000",3020,12,195,15,0,0,0,9
33,Grim Dawn,Other,49729,3859,"10,000,000 .. 20,000,000",3701,255,1772,205,2499,2499,0,1
34,SMITE,Other,55572,13108,"10,000,000 .. 20,000,000",4935,2159,238,974,0,0,0,5
35,Ring of Elysium,Other,67705,21559,"10,000,000 .. 20,000,000",1160,144,107,265,0,0,0,1
36,Half-Life Deathmatch: Source,Valve,1827,579,"10,000,000 .. 20,000,000",76,0,20,0,999,999,0,33
37,Wallpaper Engine,Other,196998,3476,"10,000,000 .. 20,000,000",2627,179,622,24,399,399,0,1
38,GRID 2,Codemasters,20511,4271,"5,000,000 .. 10,000,000",316,159,165,159,0,0,0,23
39,The Witcher 3: Wild Hunt,Other,388356,7553,"5,000,000 .. 10,000,000",3808,523,1524,293,3999,3999,0,4
40,Street Warriors Online,Other,986,729,"5,000,000 .. 10,000,000",100,0,74,0,199,199,0,1
41,The Tiny Bang Story,Other,4636,663,"5,000,000 .. 10,000,000",312,280,314,379,124,499,75,1
42,World of Warships,Other,42352,11491,"5,000,000 .. 10,000,000",3837,523,128,678,0,0,0,4
43,The Elder Scrolls V: Skyrim,Bethesda Softworks,270178,15353,"5,000,000 .. 10,000,000",5586,369,2983,579,1999,1999,0,43
44,Sid Meier's Civilization V,Other,157658,6383,"5,000,000 .. 10,000,000",6475,113,2704,126,2999,2999,0,4
45,PlanetSide 2,Other,45869,9391,"5,000,000 .. 10,000,000",1468,1777,191,1573,0,0,0,9
46,Half-Life,Valve,47524,1767,"5,000,000 .. 10,000,000",896,1,193,1,999,999,0,33
47,Half-Life 2: Deathmatch,Valve,7628,883,"5,000,000 .. 10,000,000",1766,0,48,0,499,499,0,33
48,Counter-Strike: Condition Zero,Valve,15531,1599,"5,000,000 .. 10,000,000",2002,1,40,1,999,999,0,33
49,Human: Fall Flat,Curve Digital,94795,6127,"5,000,000 .. 10,000,000",1090,127,351,97,1499,1499,0,28
50,Kathy Rain,Other,2518,198,"5,000,000 .. 10,000,000",1510,162,271,173,1499,1499,0,14
51,No More Room in Hell,Other,52085,6087,"5,000,000 .. 10,000,000",523,0,105,0,0,0,0,1
52,Counter-Strike Nexon: Studio,Other,24332,12879,"5,000,000 .. 10,000,000",5648,9282,58,9282,0,0,0,1
53,Z1 Battle Royale: Test Server,Other,1277,1127,"5,000,000 .. 10,000,000",925,0,22,0,0,0,0,9
54,ARK: Survival Evolved,Other,270236,80835,"5,000,000 .. 10,000,000",10860,931,1249,425,4999,4999,0,2
55,Dirty Bomb,Other,46663,11060,"5,000,000 .. 10,000,000",3123,9311,121,9311,0,0,0,1
56,Portal,Valve,71658,1296,"5,000,000 .. 10,000,000",312,175,172,193,999,999,0,33
57,Euro Truck Simulator 2,Other,314560,8478,"5,000,000 .. 10,000,000",5105,412,1520,202,1999,1999,0,6
58,Half-Life: Opposing Force,Valve,8684,470,"5,000,000 .. 10,000,000",558,0,186,0,499,499,0,33
59,Dead by Daylight,Other,274281,63727,"5,000,000 .. 10,000,000",5349,687,986,335,1999,1999,0,3
60,Monster Hunter: World,Other,210822,44400,"5,000,000 .. 10,000,000",7285,654,3291,257,2999,2999,0,16
61,Tomb Raider,Other,156819,6082,"5,000,000 .. 10,000,000",601,227,481,444,1499,1499,0,4
62,Tom Clancy’s The Division,Ubisoft,55009,26302,"5,000,000 .. 10,000,000",4987,772,1540,772,2999,2999,0,123
63,Black Desert Online,Other,23192,8257,"5,000,000 .. 10,000,000",5239,32,367,45,999,999,0,1
64,Dota Underlords,Valve,70252,13523,"5,000,000 .. 10,000,000",2373,506,341,635,0,0,0,33
65,A Story About My Uncle,Other,23294,2041,"5,000,000 .. 10,000,000",786,188,223,211,1499,1499,0,10
66,Half-Life: Blue Shift,Valve,6284,659,"5,000,000 .. 10,000,000",446,1,65,1,499,499,0,33
67,World of Tanks Blitz,Other,39366,11006,"5,000,000 .. 10,000,000",8530,1560,160,417,0,0,0,4
68,Cities: Skylines,Paradox Interactive,117192,9524,"5,000,000 .. 10,000,000",1978,320,672,380,2999,2999,0,59
69,Left 4 Dead,Valve,26161,1181,"5,000,000 .. 10,000,000",886,1128,184,2243,999,999,0,33
70,Mount & Blade II: Bannerlord,Other,108735,15938,"5,000,000 .. 10,000,000",3462,611,2387,706,4999,4999,0,4
71,Don't Starve Together,Other,190903,7308,"5,000,000 .. 10,000,000",2002,226,518,98,1499,1499,0,11
72,VRChat,Other,54686,5679,"5,000,000 .. 10,000,000",1343,646,74,285,0,0,0,1
73,Clicker Heroes,Other,46982,5238,"5,000,000 .. 10,000,000",8440,10288,402,10795,0,0,0,3
74,Fallout Shelter,Bethesda Softworks,31174,4470,"5,000,000 .. 10,000,000",3511,6211,148,6237,0,0,0,43
75,Age of Empires II (2013),Xbox Game Studios,77681,3776,"5,000,000 .. 10,000,000",2719,506,576,887,1999,1999,0,37
76,Day of Defeat,Valve,4283,481,"5,000,000 .. 10,000,000",357,0,21,0,499,499,0,33
77,Stardew Valley,Other,250369,6096,"5,000,000 .. 10,000,000",2539,264,1175,235,1499,1499,0,1
78,Dying Light,Other,167568,9560,"5,000,000 .. 10,000,000",2320,359,1307,211,3999,3999,0,7
79,Call of Duty: Modern Warfare 2,Activision,36044,3059,"5,000,000 .. 10,000,000",944,0,543,0,1999,1999,0,52
80,SCP: Secret Laboratory,Other,58921,6385,"5,000,000 .. 10,000,000",1078,245,79,327,0,0,0,1
81,Day of Defeat: Source,Valve,13091,1400,"5,000,000 .. 10,000,000",1061,52,165,52,999,999,0,33
82,Fallout 4,Bethesda Softworks,157356,48485,"5,000,000 .. 10,000,000",4418,1568,1865,1455,2999,2999,0,43
83,HITMAN 2,Other,34541,3759,"5,000,000 .. 10,000,000",1069,389,279,529,9999,9999,0,3
84,NBA 2K20,2K,17804,20095,"5,000,000 .. 10,000,000",4096,1005,3291,1280,899,5999,85,58
85,Chivalry: Medieval Warfare,Other,54163,11560,"5,000,000 .. 10,000,000",614,0,266,0,2499,2499,0,1
86,Realm Royale,Other,30054,11494,"5,000,000 .. 10,000,000",424,0,147,0,0,0,0,5
87,The Forest,Other,183883,11581,"5,000,000 .. 10,000,000",1753,544,1148,554,1999,1999,0,1
88,Half-Life 2: Episode Two,Valve,20120,775,"5,000,000 .. 10,000,000",376,80,299,80,799,799,0,33
89,Braveland,Other,2132,440,"5,000,000 .. 10,000,000",1542,279,260,279,699,699,0,5
90,Neverwinter,Other,22184,6331,"5,000,000 .. 10,000,000",2444,288,382,380,0,0,0,7
91,Risk of Rain 2,Other,88553,3524,"5,000,000 .. 10,000,000",2751,530,1553,891,1999,1999,0,8
92,Life is Strange - Episode 1,Other,134212,5130,"5,000,000 .. 10,000,000",474,307,165,494,0,0,0,1
93,Half-Life 2: Episode One,Valve,12792,694,"5,000,000 .. 10,000,000",270,42,211,68,799,799,0,33
94,Castle Crashers,Other,64830,2703,"5,000,000 .. 10,000,000",599,43,271,70,1499,1499,0,2
95,Don't Starve,Other,76335,2511,"5,000,000 .. 10,000,000",891,93,281,114,999,999,0,11
96,theHunter Classic,Other,15133,15968,"5,000,000 .. 10,000,000",1186,0,44,0,0,0,0,2
97,Warhammer: Vermintide 2,Other,40811,10940,"5,000,000 .. 10,000,000",2336,1066,851,1748,2999,2999,0,9
98,Loadout,Other,35212,5482,"5,000,000 .. 10,000,000",287,0,125,0,0,0,0,1
99,Infestation: The New Z,Other,15976,15015,"5,000,000 .. 10,000,000",4053,18547,91,18547,0,0,0,3
100,Deceit,Other,45993,9990,"5,000,000 .. 10,000,000",435,163,77,91,0,0,0,1
101,Oddworld: Abe's Oddysee,Other,3044,493,"5,000,000 .. 10,000,000",560,0,221,0,299,299,0,4
102,Evolve Stage 2,2K,30881,14926,"5,000,000 .. 10,000,000",613,0,121,0,0,0,0,58
103,Arma 3,Bohemia Interactive,148602,15982,"5,000,000 .. 10,000,000",15306,773,1929,699,2999,2999,0,27
104,ARK: Survival Of The Fittest,Other,5420,3439,"5,000,000 .. 10,000,000",209,2,26,2,4999,4999,0,2
105,AdVenture Capitalist,Other,38655,4948,"5,000,000 .. 10,000,000",3591,4,294,4,0,0,0,7
106,APB Reloaded,Other,21858,12510,"5,000,000 .. 10,000,000",2348,112,103,121,0,0,0,3
107,Company of Heroes 2,Other,50510,14882,"5,000,000 .. 10,000,000",1986,436,289,501,1999,1999,0,9
108,Deathmatch Classic,Valve,1578,344,"2,000,000 .. 5,000,000",44,0,14,0,499,499,0,33
109,Sid Meier’s Civilization VI,Other,97251,22835,"2,000,000 .. 5,000,000",4850,533,1724,451,5999,5999,0,4
110,The Witcher 2: Assassins of Kings Enhanced Edition,Other,50373,5721,"2,000,000 .. 5,000,000",1006,627,341,707,1999,1999,0,2
111,Freestyle 2: Street Basketball,Other,7495,2689,"2,000,000 .. 5,000,000",309,32,92,32,0,0,0,2
112,Ricochet,Valve,3272,762,"2,000,000 .. 5,000,000",1243,0,6,0,499,499,0,33
113,Divide By Sheep,tinyBuild,2035,195,"2,000,000 .. 5,000,000",124,0,52,0,499,499,0,48
114,Killing Floor,Other,57306,2802,"2,000,000 .. 5,000,000",1691,1,270,1,1999,1999,0,13
115,Half-Life: Source,Valve,5965,1781,"2,000,000 .. 5,000,000",321,0,133,0,999,999,0,33
116,Saints Row: The Third,Deep Silver,53245,2245,"2,000,000 .. 5,000,000",1518,0,682,0,999,999,0,41
117,Devil May Cry 5,Other,43243,2345,"2,000,000 .. 5,000,000",800,53,744,50,3999,3999,0,16
118,BioShock,2K,21785,1288,"2,000,000 .. 5,000,000",532,0,318,0,0,0,0,58
119,DayZ,Bohemia Interactive,153906,84815,"2,000,000 .. 5,000,000",7890,1582,2671,999,4499,4499,0,27
120,Creativerse,Other,22288,5440,"2,000,000 .. 5,000,000",525,96,89,96,0,0,0,1
121,Fistful of Frags,Other,27493,2671,"2,000,000 .. 5,000,000",318,112,89,112,0,0,0,1
122,BioShock Infinite,2K,94647,4619,"2,000,000 .. 5,000,000",758,2,591,2,749,2999,75,58
123,Minion Masters,Other,43972,3761,"2,000,000 .. 5,000,000",1433,681,170,681,0,0,0,3
124,Prison Architect,Paradox Interactive,44103,4132,"2,000,000 .. 5,000,000",1852,178,861,232,2999,2999,0,59
125,KurtzPel,Other,17593,10583,"2,000,000 .. 5,000,000",1979,0,94,0,0,0,0,1
126,Outlast,Other,55892,2295,"2,000,000 .. 5,000,000",258,61,160,108,1999,1999,0,3
127,POSTAL,Other,2972,599,"2,000,000 .. 5,000,000",193,0,231,0,0,0,0,4
128,TERA,Other,12857,3317,"2,000,000 .. 5,000,000",2090,0,376,0,0,0,0,3
129,Alien Swarm,Valve,18190,989,"2,000,000 .. 5,000,000",422,0,125,0,0,0,0,33
130,Starbound,Other,133093,9783,"2,000,000 .. 5,000,000",3906,469,1674,370,1499,1499,0,9
131,Just Cause 2,Square Enix,38435,3726,"2,000,000 .. 5,000,000",548,695,187,695,1499,1499,0,116
132,Magicka,Paradox Interactive,22989,2594,"2,000,000 .. 5,000,000",570,0,308,0,999,999,0,59
133,7 Days to Die,Other,108206,20361,"2,000,000 .. 5,000,000",3239,881,1064,895,2499,2499,0,1
134,Scrap Mechanic,Other,47920,4738,"2,000,000 .. 5,000,000",1061,62,578,70,1999,1999,0,2
135,Battlerite,Other,45568,8652,"2,000,000 .. 5,000,000",689,51,179,51,0,0,0,3
136,Middle-earth: Shadow of Mordor,Other,57672,4939,"2,000,000 .. 5,000,000",1023,19,623,19,1999,1999,0,1
137,DARK SOULS III,Other,183545,13554,"2,000,000 .. 5,000,000",3670,371,2701,270,5999,5999,0,1
138,BLOCKADE 3D,Other,15942,11803,"2,000,000 .. 5,000,000",434,0,112,0,0,0,0,6
139,FOR HONOR,Ubisoft,53640,29710,"2,000,000 .. 5,000,000",2009,450,666,572,1499,1499,0,123
140,Saints Row IV,Deep Silver,59727,5755,"2,000,000 .. 5,000,000",1286,134,885,269,1499,1499,0,41
141,RaceRoom Racing Experience,Other,7977,4010,"2,000,000 .. 5,000,000",85,7,40,7,0,0,0,1
142,PAYDAY The Heist,Other,34774,2538,"2,000,000 .. 5,000,000",467,0,187,0,1499,1499,0,9
143,Doki Doki Literature Club!,Other,132591,4296,"2,000,000 .. 5,000,000",404,334,114,614,0,0,0,1
144,Insurgency,Other,107438,10111,"2,000,000 .. 5,000,000",615,72,234,90,1499,1499,0,2
145,The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,99954,15505,"2,000,000 .. 5,000,000",3109,260,1025,323,3999,3999,0,43
146,Survarium,Other,12158,10606,"2,000,000 .. 5,000,000",1672,19,53,19,0,0,0,1
147,Amnesia: The Dark Descent,Other,23507,1340,"2,000,000 .. 5,000,000",277,114,64,114,1999,1999,0,6
148,Grand Theft Auto IV: The Complete Edition,Other,48216,21072,"2,000,000 .. 5,000,000",1590,274,736,435,1999,1999,0,17
149,Last Man Standing,Other,11686,7450,"2,000,000 .. 5,000,000",376,0,85,0,0,0,0,2
150,"Warhammer 40,000: Space Marine",SEGA,12712,1160,"2,000,000 .. 5,000,000",355,445,227,445,2999,2999,0,88
151,Arma 2: Operation Arrowhead,Bohemia Interactive,18934,1576,"2,000,000 .. 5,000,000",3152,11,687,11,1999,1999,0,27
152,Europa Universalis IV,Paradox Interactive,66794,10131,"2,000,000 .. 5,000,000",22344,857,3790,685,3999,3999,0,59
153,Divinity: Original Sin 2 - Definitive Edition,Other,91040,3753,"2,000,000 .. 5,000,000",3954,225,2758,339,4499,4499,0,6
154,Torchlight II,Other,34024,2081,"2,000,000 .. 5,000,000",1776,343,544,343,1999,1999,0,3
155,Mount & Blade: Warband,Other,112563,2718,"2,000,000 .. 5,000,000",7398,312,1333,562,1999,1999,0,4
156,Rise of the Tomb Raider,Other,75122,5083,"2,000,000 .. 5,000,000",1043,477,680,582,2999,2999,0,4
157,Sekiro: Shadows Die Twice,Other,88938,5492,"2,000,000 .. 5,000,000",2113,237,1753,113,5999,5999,0,1
158,Cry of Fear,Other,24219,4124,"2,000,000 .. 5,000,000",135,0,54,0,0,0,0,1
159,The Elder Scrolls Online,Bethesda Softworks,62183,15831,"2,000,000 .. 5,000,000",6163,1367,1249,1526,1999,1999,0,43
160,Crossout,Other,25542,8614,"2,000,000 .. 5,000,000",4619,6233,162,6234,0,0,0,4
161,Resident Evil 2,Other,72054,1998,"2,000,000 .. 5,000,000",1038,429,786,443,3999,3999,0,16
162,MORDHAU,Other,59535,11924,"2,000,000 .. 5,000,000",2929,261,1314,249,2999,2999,0,1
163,Business Tour - Board Game with Online Multiplayer,8Floor,23005,14275,"2,000,000 .. 5,000,000",451,102,220,106,0,0,0,36
164,The Expendabros,Devolver Digital,16102,470,"2,000,000 .. 5,000,000",104,1,59,1,0,0,0,78
165,Tabletop Simulator,Other,29157,1199,"2,000,000 .. 5,000,000",1621,619,482,598,1999,1999,0,1
166,"Star Wars: Battlefront 2 (Classic, 2005)",Other,37192,2583,"2,000,000 .. 5,000,000",381,0,172,0,999,999,0,2
167,Subnautica,Other,127199,6039,"2,000,000 .. 5,000,000",2111,355,1409,698,2499,2499,0,5
168,DOOM,Bethesda Softworks,118340,6589,"2,000,000 .. 5,000,000",798,167,552,211,1999,1999,0,43
169,Far Cry 3,Ubisoft,53692,6305,"2,000,000 .. 5,000,000",1714,186,1055,272,299,1999,85,123
170,Defiance,Other,9546,2942,"2,000,000 .. 5,000,000",694,0,273,0,0,0,0,7
171,LIMBO,Other,33888,2258,"2,000,000 .. 5,000,000",140,1,89,1,999,999,0,2
172,World of Guns: Gun Disassembly,Other,12672,2665,"2,000,000 .. 5,000,000",244,31,41,38,0,0,0,2
173,Saints Row 2,Deep Silver,10821,3162,"2,000,000 .. 5,000,000",572,0,81,0,999,999,0,41
174,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Other,30180,2456,"2,000,000 .. 5,000,000",1540,261,336,289,1999,1999,0,13
175,Block N Load,Other,11797,3354,"2,000,000 .. 5,000,000",407,0,89,0,0,0,0,1
176,Guns of Icarus Online,Other,13242,1367,"2,000,000 .. 5,000,000",674,7,268,7,499,499,0,5
177,Call of Duty: Black Ops II,Activision,29061,4986,"2,000,000 .. 5,000,000",354,1,108,1,5999,5999,0,52
178,Undertale,Other,123491,4910,"2,000,000 .. 5,000,000",739,76,441,80,999,999,0,1
179,Fishing Planet,Other,17095,4200,"2,000,000 .. 5,000,000",313,0,51,0,0,0,0,1
180,Total War: WARHAMMER II,Other,64707,5033,"2,000,000 .. 5,000,000",9198,1346,5852,1575,5999,5999,0,9
181,Hollow Knight,Other,97771,3398,"2,000,000 .. 5,000,000",1174,277,309,274,1499,1499,0,1
182,Team Fortress Classic,Valve,4285,775,"2,000,000 .. 5,000,000",1763,0,17,0,499,499,0,33
183,Spiral Knights,Other,17381,3346,"2,000,000 .. 5,000,000",1404,40,96,40,0,0,0,3
184,Stick Fight: The Game,Other,49558,4010,"2,000,000 .. 5,000,000",380,57,242,78,499,499,0,5
185,STAR WARS Jedi: Fallen Order,Electronic Arts,45303,4478,"2,000,000 .. 5,000,000",1026,755,963,755,5999,5999,0,62
186,Call of Duty: Black Ops,Activision,18623,2245,"2,000,000 .. 5,000,000",844,12,492,12,3999,3999,0,52
187,DISTRAINT: Deluxe Edition,Other,8247,572,"2,000,000 .. 5,000,000",282,253,261,280,84,499,83,4
188,Dishonored,Bethesda Softworks,50121,1441,"2,000,000 .. 5,000,000",859,350,436,350,999,999,0,43
189,Batman: Arkham City - Game of the Year Edition,Other,31508,1477,"2,000,000 .. 5,000,000",922,1,393,1,1999,1999,0,6
190,XCOM: Enemy Unknown,Other,41464,2369,"2,000,000 .. 5,000,000",2128,433,1470,433,2999,2999,0,1
191,Cuisine Royale,Other,20916,4726,"2,000,000 .. 5,000,000",280,141,56,165,0,0,0,4
192,Trine 2: Complete Story,Other,17941,801,"2,000,000 .. 5,000,000",419,163,253,163,499,1999,75,7
193,GunZ 2: The Second Duel,Other,6974,3507,"2,000,000 .. 5,000,000",119,0,99,0,0,0,0,1
194,Codename CURE,Other,12586,2473,"2,000,000 .. 5,000,000",205,2,51,2,0,0,0,1
195,BioShock 2,2K,9554,1087,"2,000,000 .. 5,000,000",760,0,241,0,0,0,0,58
196,Borderlands: The Pre-Sequel,Other,26002,6441,"2,000,000 .. 5,000,000",1154,25,446,45,3999,3999,0,1
197,Blacklight: Retribution,Other,12416,4158,"2,000,000 .. 5,000,000",725,0,248,0,0,0,0,1
198,Transformice,Other,14445,2435,"2,000,000 .. 5,000,000",858,0,50,0,0,0,0,2
199,Plants vs. Zombies GOTY Edition,Other,36975,1386,"2,000,000 .. 5,000,000",900,312,351,412,499,499,0,12
200,Company of Heroes - Legacy Edition,SEGA,5176,359,"2,000,000 .. 5,000,000",288,0,204,0,1999,1999,0,88
201,The Lord of the Rings Online,Other,8868,2166,"2,000,000 .. 5,000,000",1876,0,149,0,0,0,0,2
202,Hitman: Absolution,Other,28545,2837,"2,000,000 .. 5,000,000",627,384,386,384,1999,1999,0,4
203,Realm of the Mad God,Other,29582,5431,"2,000,000 .. 5,000,000",2212,221,91,370,0,0,0,1
204,Darkest Dungeon,Other,68776,7885,"2,000,000 .. 5,000,000",1704,1272,742,1624,2499,2499,0,1
205,FTL: Faster Than Light,Other,52222,2062,"2,000,000 .. 5,000,000",2335,203,729,206,999,999,0,2
206,The Walking Dead,Other,49031,1615,"2,000,000 .. 5,000,000",613,803,519,803,1499,1499,0,7
207,S.K.I.L.L. - Special Force 2 (Shooter),Other,7915,3564,"2,000,000 .. 5,000,000",268,0,43,0,0,0,0,4
208,WARMODE,Other,10256,6597,"2,000,000 .. 5,000,000",204,0,47,0,0,0,0,6
209,Call of Duty: Modern Warfare 3,Activision,23187,3741,"2,000,000 .. 5,000,000",0,0,0,0,3999,3999,0,52
210,XCOM 2,Other,48063,8537,"2,000,000 .. 5,000,000",3870,404,2025,470,5999,5999,0,1
211,Mafia II (Classic),2K,41455,2221,"2,000,000 .. 5,000,000",1330,0,838,0,0,0,0,58
212,Fallout: New Vegas,Bethesda Softworks,95998,3828,"2,000,000 .. 5,000,000",3115,445,761,504,999,999,0,43
213,Total War: ROME II - Emperor Edition,SEGA,44530,13654,"2,000,000 .. 5,000,000",3959,119,1963,119,5999,5999,0,88
214,Batman: Arkham Asylum Game of the Year Edition,Warner Bros. Interactive Entertainment,25924,1069,"2,000,000 .. 5,000,000",530,42,371,59,1999,1999,0,29
215,Just Cause 3,Square Enix,58602,16354,"2,000,000 .. 5,000,000",771,270,284,308,1999,1999,0,116
216,Gotham City Impostors Free to Play,Warner Bros. Interactive Entertainment,9631,1813,"2,000,000 .. 5,000,000",288,0,74,0,0,0,0,29
217,Shadow Warrior,Devolver Digital,20188,1548,"2,000,000 .. 5,000,000",356,0,221,0,3999,3999,0,78
218,Killing Floor 2,Other,81790,11404,"2,000,000 .. 5,000,000",4976,233,911,68,2999,2999,0,13
219,Crusader Kings II,Paradox Interactive,51660,5829,"2,000,000 .. 5,000,000",2915,225,276,329,0,0,0,59
220,Goat Simulator,Other,48988,5827,"2,000,000 .. 5,000,000",370,20,148,22,999,999,0,10
221,Mirror's Edge,Electronic Arts,23436,3212,"2,000,000 .. 5,000,000",290,81,198,68,1999,1999,0,62
222,Magic Duels,Other,16924,7063,"2,000,000 .. 5,000,000",508,0,45,0,0,0,0,4
223,Metro 2033 Redux,Deep Silver,38783,7104,"2,000,000 .. 5,000,000",489,30,396,51,1999,1999,0,41
224,Space Engineers,Other,80735,11132,"2,000,000 .. 5,000,000",3494,161,728,191,1999,1999,0,4
225,Football Manager 2020,SEGA,21607,2919,"2,000,000 .. 5,000,000",13780,2313,7770,1934,4999,4999,0,88
226,Yu-Gi-Oh! Duel Links,Other,18383,3876,"2,000,000 .. 5,000,000",1585,47,111,47,0,0,0,19
227,Halo: The Master Chief Collection,Xbox Game Studios,86700,8290,"2,000,000 .. 5,000,000",1685,406,670,190,3999,3999,0,37
228,Alien Swarm: Reactive Drop,Other,11200,679,"2,000,000 .. 5,000,000",204,0,55,0,0,0,0,1
229,Red Dead Redemption 2,Other,72576,21992,"2,000,000 .. 5,000,000",4699,592,2066,450,5999,5999,0,17
230,Totally Accurate Battle Simulator,Other,34794,863,"2,000,000 .. 5,000,000",760,320,710,502,1499,1499,0,5
231,Stellaris,Paradox Interactive,70601,12249,"2,000,000 .. 5,000,000",8747,790,1217,1206,3999,3999,0,59
232,DCS World Steam Edition,Other,9706,2213,"2,000,000 .. 5,000,000",427,40,66,40,0,0,0,1
233,Hearts of Iron IV,Paradox Interactive,85361,8282,"2,000,000 .. 5,000,000",7131,949,2738,801,3999,3999,0,59
234,The Binding of Isaac: Rebirth,Other,107429,2136,"2,000,000 .. 5,000,000",7318,669,2456,821,1499,1499,0,13
235,Metro: Last Light Redux,Deep Silver,32071,5577,"2,000,000 .. 5,000,000",624,46,523,46,1999,1999,0,41
236,The Awesome Adventures of Captain Spirit,Square Enix,9906,784,"2,000,000 .. 5,000,000",115,99,75,99,0,0,0,116
237,RIFT,Other,7344,2473,"2,000,000 .. 5,000,000",991,0,384,0,0,0,0,7
238,The Binding of Isaac,Other,45771,2058,"2,000,000 .. 5,000,000",1554,827,309,827,499,499,0,3
239,TrackMania Nations Forever,Ubisoft,10692,1580,"2,000,000 .. 5,000,000",296,21,63,21,0,0,0,123
240,Orcs Must Die! 2,Other,14789,814,"2,000,000 .. 5,000,000",685,0,414,0,1499,1499,0,5
241,Tree of Savior (English Ver.),Other,11329,6478,"2,000,000 .. 5,000,000",9598,18550,309,18550,0,0,0,2
242,America's Army: Proving Grounds,Other,7300,2000,"2,000,000 .. 5,000,000",203,0,65,0,0,0,0,2
243,Titan Quest Anniversary Edition,THQ Nordic,16249,1579,"2,000,000 .. 5,000,000",1300,71,373,71,1999,1999,0,109
244,Bastion,Other,30573,1312,"2,000,000 .. 5,000,000",293,0,210,0,1499,1499,0,4
245,Argo,Bohemia Interactive,5130,5290,"2,000,000 .. 5,000,000",211,0,27,0,0,0,0,27
